到着日付, 陽性者数
2020/03/04,1
2020/03/12,2
2020/03/13,1
2020/03/14,1
2020/03/21,1
2020/03/22,1
2020/03/23,1
2020/03/24,3
2020/03/25,4
2020/03/26,5
2020/03/27,4
2020/03/28,12
2020/03/29,10
2020/03/30,5
2020/03/31,2
2020/04/01,10
2020/04/02,1
2020/04/03,1
2020/04/04,7
2020/04/05,6
2020/04/06,11
2020/04/07,4
2020/04/08,2
2020/04/09,1
2020/04/10,6
2020/04/11,3
2020/04/12,2
2020/04/14,4
2020/04/16,1
2020/04/17,1
2020/04/18,1
2020/04/20,3
2020/04/21,2
2020/04/22,1
2020/04/24,3
2020/04/25,2
2020/04/26,1
2020/04/27,2
2020/04/28,3
2020/04/29,2
2020/05/01,1
2020/05/05,1
2020/05/06,2
2020/05/07,1
2020/05/09,2
2020/05/10,1
2020/05/11,1
2020/05/12,1
2020/05/15,2
2020/05/20,1
2020/05/22,1
2020/05/23,2
2020/05/24,1
2020/05/25,4
2020/05/26,3
2020/05/27,2
2020/05/28,10
2020/05/29,4
2020/05/30,4
2020/05/31,1
2020/06/01,2
2020/06/02,3
2020/06/03,5
2020/06/04,1
2020/06/05,1
2020/06/06,6
2020/06/07,14
2020/06/08,2
2020/06/09,2
2020/06/11,4
2020/06/12,13
2020/06/13,6
2020/06/14,11
2020/06/15,2
2020/06/16,3
2020/06/17,3
2020/06/18,3
2020/06/19,2
2020/06/20,6
2020/06/21,2
2020/06/22,8
2020/06/23,4
2020/06/24,5
2020/06/25,3
2020/06/26,5
2020/06/28,7
2020/06/30,1
2020/07/01,1
2020/07/02,6
2020/07/03,10
2020/07/04,5
2020/07/05,4
2020/07/06,2
2020/07/07,3
2020/07/08,14
2020/07/09,3
2020/07/10,17
2020/07/11,17
2020/07/12,11
2020/07/13,14
2020/07/14,3
2020/07/15,9
2020/07/16,5
2020/07/17,10
2020/07/18,6
2020/07/19,15
2020/07/20,12
2020/07/21,9
2020/07/22,10
2020/07/23,2
2020/07/24,15
2020/07/25,13
2020/07/26,12
2020/07/27,10
2020/07/28,22
2020/07/29,10
2020/07/30,2
2020/07/31,5
2020/08/01,9
2020/08/02,20
2020/08/03,7
2020/08/04,10
2020/08/05,9
2020/08/06,7
2020/08/07,7
2020/08/08,8
2020/08/09,9
2020/08/10,5
2020/08/11,4
2020/08/12,2
2020/08/13,1
2020/08/14,7
2020/08/15,3
2020/08/16,10
2020/08/17,4
2020/08/18,3
2020/08/19,10
2020/08/20,2
2020/08/21,2
2020/08/22,7
2020/08/23,4
2020/08/24,5
2020/08/25,1
2020/08/26,9
2020/08/27,3
2020/08/28,8
2020/08/29,3
2020/08/30,7
2020/08/31,11
2020/09/01,10
2020/09/02,2
2020/09/03,6
2020/09/04,5
2020/09/05,4
2020/09/06,5
2020/09/08,3
2020/09/09,3
2020/09/10,7
2020/09/11,5
2020/09/12,5
2020/09/13,4
2020/09/14,3
2020/09/15,7
2020/09/16,8
2020/09/17,9
2020/09/18,4
2020/09/19,10
2020/09/20,8
2020/09/21,8
2020/09/22,5
2020/09/23,7
