死亡日,死亡者数,累計
2020-02-26,1,1
2020-02-27,"",1
2020-02-28,"",1
2020-02-29,"",1
2020-03-01,"",1
2020-03-02,"",1
2020-03-03,"",1
2020-03-04,"",1
2020-03-05,"",1
2020-03-06,"",1
2020-03-07,"",1
2020-03-08,"",1
2020-03-09,1,2
2020-03-10,"",2
2020-03-11,"",2
2020-03-12,1,3
2020-03-13,"",3
2020-03-14,"",3
2020-03-15,"",3
2020-03-16,"",3
2020-03-17,"",3
2020-03-18,"",3
2020-03-19,1,4
2020-03-20,"",4
2020-03-21,1,5
2020-03-22,"",5
2020-03-23,"",5
2020-03-24,1,6
2020-03-25,"",6
2020-03-26,"",6
2020-03-27,2,8
2020-03-28,2,10
2020-03-29,5,15
2020-03-30,2,17
2020-03-31,1,18
2020-04-01,2,20
2020-04-02,2,22
2020-04-03,4,26
2020-04-04,6,32
2020-04-05,2,34
2020-04-06,1,35
2020-04-07,3,38
2020-04-08,4,42
2020-04-09,5,47
2020-04-10,5,52
2020-04-11,7,59
2020-04-12,11,70
2020-04-13,3,73
2020-04-14,4,77
2020-04-15,7,84
2020-04-16,11,95
2020-04-17,7,102
2020-04-18,7,109
2020-04-19,8,117
2020-04-20,9,126
2020-04-21,6,132
2020-04-22,5,137
2020-04-23,12,149
2020-04-24,6,155
2020-04-25,6,161
2020-04-26,8,169
2020-04-27,5,174
2020-04-28,10,184
2020-04-29,7,191
2020-04-30,8,199
2020-05-01,6,205
2020-05-02,9,214
2020-05-03,8,222
2020-05-04,9,231
2020-05-05,6,237
2020-05-06,4,241
2020-05-07,8,249
2020-05-08,9,258
2020-05-09,2,260
2020-05-10,3,263
2020-05-11,2,265
2020-05-12,8,273
2020-05-13,4,277
2020-05-14,1,278
2020-05-15,3,281
2020-05-16,4,285
2020-05-17,3,288
2020-05-18,4,292
2020-05-19,2,294
2020-05-20,"",294
2020-05-21,1,295
2020-05-22,3,298
2020-05-23,"",298
2020-05-24,"",298
2020-05-25,2,300
2020-05-26,3,303
2020-05-27,2,305
2020-05-28,"",305
2020-05-29,"",305
2020-05-30,1,306
2020-05-31,"",306
2020-06-01,1,307
2020-06-02,"",307
2020-06-03,4,311
2020-06-04,"",311
2020-06-05,"",311
2020-06-06,"",311
2020-06-07,"",311
2020-06-08,"",311
2020-06-09,4,315
2020-06-10,"",315
2020-06-11,1,316
2020-06-12,"",316
2020-06-13,"",316
2020-06-14,"",316
2020-06-15,2,318
2020-06-16,"",318
2020-06-17,3,321
2020-06-18,1,322
2020-06-19,"",322
2020-06-20,1,323
2020-06-21,2,325
2020-06-22,"",325
2020-06-23,"",325
2020-06-24,"",325
2020-06-25,"",325
2020-06-26,"",325
2020-06-27,"",325
2020-06-28,1,326
2020-06-29,"",326
2020-06-30,1,327
2020-07-01,1,328
2020-07-02,"",328
2020-07-03,"",328
2020-07-04,"",328
2020-07-05,"",328
2020-07-06,"",328
2020-07-07,"",328
2020-07-08,"",328
2020-07-09,"",328
2020-07-10,"",328
2020-07-11,1,329
2020-07-12,"",329
2020-07-13,"",329
2020-07-14,1,330
2020-07-15,1,331
2020-07-16,"",331
2020-07-17,1,332
2020-07-18,"",332
2020-07-19,1,333
2020-07-20,"",333
2020-07-21,"",333
2020-07-22,"",333
2020-07-23,"",333
2020-07-24,"",333
2020-07-25,1,334
2020-07-26,"",334
2020-07-27,"",334
2020-07-28,"",334
2020-07-29,"",334
2020-07-30,1,335
2020-07-31,"",335
2020-08-01,"",335
2020-08-02,3,338
2020-08-03,"",338
2020-08-04,"",338
2020-08-05,1,339
2020-08-06,1,340
2020-08-07,"",340
2020-08-08,1,341
2020-08-09,1,342
2020-08-10,"",342
2020-08-11,1,343
2020-08-12,2,345
2020-08-13,1,346
2020-08-14,4,350
2020-08-15,"",350
2020-08-16,"",350
2020-08-17,1,351
2020-08-18,1,352
2020-08-19,"",352
2020-08-20,3,355
2020-08-21,"",355
2020-08-22,1,356
2020-08-23,1,357
2020-08-24,2,359
2020-08-25,2,361
2020-08-26,1,362
2020-08-27,1,363
2020-08-28,2,365
2020-08-29,"",365
2020-08-30,1,366
2020-08-31,1,367
2020-09-01,1,368
2020-09-02,3,371
2020-09-03,1,372
2020-09-04,4,376
2020-09-05,3,379
2020-09-06,"",379
2020-09-07,4,383
2020-09-08,1,384
2020-09-09,"",384
2020-09-10,3,387
2020-09-11,1,388
2020-09-12,1,389
2020-09-13,3,392
2020-09-14,1,393
2020-09-15,"",393
2020-09-16,"",393
2020-09-17,"",393
2020-09-18,"",393
2020-09-19,1,394
2020-09-20,3,397
2020-09-21,2,399
2020-09-22,1,400
2020-09-23,"",400
2020-09-24,4,404
2020-09-25,2,406
