確定日,陽性者数
"2020-01-23",2
"2020-01-24",0
"2020-01-25",0
"2020-01-26",0
"2020-01-27",0
"2020-01-28",0
"2020-01-29",0
"2020-01-30",1
"2020-01-31",0
"2020-02-01",0
"2020-02-02",0
"2020-02-03",0
"2020-02-04",0
"2020-02-05",0
"2020-02-06",0
"2020-02-07",0
"2020-02-08",0
"2020-02-09",0
"2020-02-10",0
"2020-02-11",0
"2020-02-12",1
"2020-02-13",1
"2020-02-14",2
"2020-02-15",7
"2020-02-16",5
"2020-02-17",1
"2020-02-18",3
"2020-02-19",4
"2020-02-20",0
"2020-02-21",4
"2020-02-22",0
"2020-02-23",0
"2020-02-24",3
"2020-02-25",0
"2020-02-26",4
"2020-02-27",0
"2020-02-28",0
"2020-02-29",1
"2020-03-01",1
"2020-03-02",0
"2020-03-03",2
"2020-03-04",4
"2020-03-05",4
"2020-03-06",7
"2020-03-07",6
"2020-03-08",1
"2020-03-09",0
"2020-03-10",4
"2020-03-11",4
"2020-03-12",4
"2020-03-13",6
"2020-03-14",5
"2020-03-15",3
"2020-03-16",4
"2020-03-17",10
"2020-03-18",10
"2020-03-19",9
"2020-03-20",8
"2020-03-21",7
"2020-03-22",4
"2020-03-23",19
"2020-03-24",29
"2020-03-25",47
"2020-03-26",35
"2020-03-27",54
"2020-03-28",62
"2020-03-29",55
"2020-03-30",52
"2020-03-31",63
"2020-04-01",109
"2020-04-02",88
"2020-04-03",155
"2020-04-04",134
"2020-04-05",85
"2020-04-06",85
"2020-04-07",132
"2020-04-08",198
"2020-04-09",266
"2020-04-10",190
"2020-04-11",235
"2020-04-12",147
"2020-04-13",188
"2020-04-14",129
"2020-04-15",190
"2020-04-16",226
"2020-04-17",196
"2020-04-18",157
"2020-04-19",91
"2020-04-20",113
"2020-04-21",113
"2020-04-22",130
"2020-04-23",115
"2020-04-24",116
"2020-04-25",107
"2020-04-26",61
"2020-04-27",69
"2020-04-28",99
"2020-04-29",66
"2020-04-30",101
"2020-05-01",56
"2020-05-02",77
"2020-05-03",60
"2020-05-04",39
"2020-05-05",32
"2020-05-06",23
"2020-05-07",25
"2020-05-08",22
"2020-05-09",34
"2020-05-10",28
"2020-05-11",11
"2020-05-12",11
"2020-05-13",20
"2020-05-14",12
"2020-05-15",10
"2020-05-16",8
"2020-05-17",3
"2020-05-18",7
"2020-05-19",2
"2020-05-20",11
"2020-05-21",4
"2020-05-22",8
"2020-05-23",6
"2020-05-24",7
"2020-05-25",8
"2020-05-26",12
"2020-05-27",16
"2020-05-28",21
"2020-05-29",19
"2020-05-30",7
"2020-05-31",15
"2020-06-01",20
"2020-06-02",10
"2020-06-03",33
"2020-06-04",20
"2020-06-05",25
"2020-06-06",24
"2020-06-07",10
"2020-06-08",10
"2020-06-09",25
"2020-06-10",22
"2020-06-11",43
"2020-06-12",42
"2020-06-13",45
"2020-06-14",21
"2020-06-15",14
"2020-06-16",28
"2020-06-17",26
"2020-06-18",61
"2020-06-19",32
"2020-06-20",30
"2020-06-21",18
"2020-06-22",32
"2020-06-23",51
"2020-06-24",54
"2020-06-25",53
"2020-06-26",68
"2020-06-27",53
"2020-06-28",64
"2020-06-29",50
"2020-06-30",70
"2020-07-01",103
"2020-07-02",127
"2020-07-03",138
"2020-07-04",131
"2020-07-05",98
"2020-07-06",82
"2020-07-07",98
"2020-07-08",258
"2020-07-09",231
"2020-07-10",222
"2020-07-11",201
"2020-07-12",104
"2020-07-13",155
"2020-07-14",173
"2020-07-15",298
"2020-07-16",305
"2020-07-17",299
"2020-07-18",238
"2020-07-19",139
"2020-07-20",217
"2020-07-21",246
"2020-07-22",399
"2020-07-23",295
"2020-07-24",254
"2020-07-25",198
"2020-07-26",111
"2020-07-27",242
"2020-07-28",276
"2020-07-29",459
"2020-07-30",407
"2020-07-31",480
"2020-08-01",364
"2020-08-02",222
"2020-08-03",266
"2020-08-04",321
"2020-08-05",434
"2020-08-06",440
"2020-08-07",383
"2020-08-08",357
"2020-08-09",225
"2020-08-10",122
"2020-08-11",206
"2020-08-12",249
"2020-08-13",435
"2020-08-14",299
"2020-08-15",273
"2020-08-16",144
"2020-08-17",146
"2020-08-18",248
"2020-08-19",301
"2020-08-20",315
"2020-08-21",287
"2020-08-22",181
"2020-08-23",105
"2020-08-24",150
"2020-08-25",211
"2020-08-26",271
"2020-08-27",202
"2020-08-28",208
"2020-08-29",183
"2020-08-30",84
"2020-08-31",136
"2020-09-01",169
"2020-09-02",172
"2020-09-03",168
"2020-09-04",170
"2020-09-05",151
"2020-09-06",69
"2020-09-07",116
"2020-09-08",204
"2020-09-09",248
"2020-09-10",176
"2020-09-11",249
"2020-09-12",168
"2020-09-13",80
"2020-09-14",143
"2020-09-15",189
"2020-09-16",181
"2020-09-17",229
"2020-09-18",201
"2020-09-19",181
"2020-09-20",93
"2020-09-21",64
"2020-09-22",73
"2020-09-23",195
"2020-09-24",207
"2020-09-25",256
"2020-09-26",165
"2020-09-27",95
"2020-09-28",143
"2020-09-29",208
"2020-09-30",205
"2020-10-01",217
"2020-10-02",184
"2020-10-03",119
"2020-10-04",73
"2020-10-05",136
"2020-10-06",171
"2020-10-07",236
"2020-10-08",210
"2020-10-09",245
"2020-10-10",163
"2020-10-11",78
"2020-10-12",156
"2020-10-13",194
"2020-10-14",260
"2020-10-15",209
"2020-10-16",213
"2020-10-17",142
"2020-10-18",88
"2020-10-19",115
"2020-10-20",181
"2020-10-21",192
"2020-10-22",193
"2020-10-23",186
"2020-10-24",188
"2020-10-25",88
"2020-10-26",108
"2020-10-27",211
"2020-10-28",204
"2020-10-29",224
"2020-10-30",209
"2020-10-31",138
"2020-11-01",87
"2020-11-02",177
"2020-11-03",144
"2020-11-04",239
"2020-11-05",262
"2020-11-06",318
"2020-11-07",249
"2020-11-08",172
"2020-11-09",229
"2020-11-10",380
"2020-11-11",389
"2020-11-12",410
"2020-11-13",363
"2020-11-14",344
"2020-11-15",149
"2020-11-16",305
"2020-11-17",537
"2020-11-18",481
"2020-11-19",487
"2020-11-20",548
"2020-11-21",466
"2020-11-22",262
"2020-11-23",131
"2020-11-24",385
"2020-11-25",534
"2020-11-26",571
"2020-11-27",560
"2020-11-28",470
"2020-11-29",286
"2020-11-30",570
"2020-12-01",239
"2020-12-02",515
"2020-12-03",566
"2020-12-04",498
"2020-12-05",425
"2020-12-06",215
"2020-12-07",351
"2020-12-08",645
"2020-12-09",597
"2020-12-10",630
"2020-12-11",603
"2020-12-12",504
"2020-12-13",257
"2020-12-14",518
"2020-12-15",696
"2020-12-16",733
"2020-12-17",700
"2020-12-18",771
"2020-12-19",653
"2020-12-20",350
"2020-12-21",574
"2020-12-22",785
"2020-12-23",911
"2020-12-24",919
"2020-12-25",870
"2020-12-26",767
"2020-12-27",530
"2020-12-28",933
"2020-12-29",1119
"2020-12-30",1335
"2020-12-31",905
"2021-01-01",811
"2021-01-02",904
"2021-01-03",1009
"2021-01-04",1443
"2021-01-05",2018
"2021-01-06",2600
"2021-01-07",2430
"2021-01-08",2345
"2021-01-09",1816
"2021-01-10",1399
"2021-01-11",940
"2021-01-12",1990
"2021-01-13",1064
"2021-01-14",1965
"2021-01-15",1814
"2021-01-16",1477
"2021-01-17",840
"2021-01-18",1223
"2021-01-19",1443
"2021-01-20",1282
"2021-01-21",1225
"2021-01-22",1058
