date,count
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,1
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,1
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,2
2020-03-06,3
2020-03-07,0
2020-03-08,1
2020-03-09,0
2020-03-10,5
2020-03-11,2
2020-03-12,6
2020-03-13,7
2020-03-14,2
2020-03-15,0
2020-03-16,0
2020-03-17,5
2020-03-18,1
2020-03-19,4
2020-03-20,3
2020-03-21,3
2020-03-22,6
2020-03-23,1
2020-03-24,7
2020-03-25,1
2020-03-26,7
2020-03-27,6
2020-03-28,6
2020-03-29,5
2020-03-30,1
2020-03-31,15
2020-04-01,3
2020-04-02,15
2020-04-03,17
2020-04-04,18
2020-04-05,30
2020-04-06,16
2020-04-07,17
2020-04-08,34
2020-04-09,35
2020-04-10,53
2020-04-11,37
2020-04-12,40
2020-04-13,15
2020-04-14,22
2020-04-15,61
2020-04-16,51
2020-04-17,26
2020-04-18,37
2020-04-19,37
2020-04-20,12
2020-04-21,10
2020-04-22,39
2020-04-23,33
2020-04-24,18
2020-04-25,22
2020-04-26,19
2020-04-27,8
2020-04-28,7
2020-04-29,15
2020-04-30,12
2020-05-01,5
2020-05-02,21
2020-05-03,12
2020-05-04,5
2020-05-05,6
2020-05-06,9
2020-05-07,14
2020-05-08,11
2020-05-09,16
2020-05-10,5
2020-05-11,2
2020-05-12,1
2020-05-13,4
2020-05-14,4
2020-05-15,2
2020-05-16,5
2020-05-17,4
2020-05-18,3
2020-05-19,0
2020-05-20,5
2020-05-21,1
2020-05-22,1
2020-05-23,1
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,2
2020-05-29,2
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,2
2020-06-04,0
2020-06-05,1
2020-06-06,1
2020-06-07,0
2020-06-08,0
2020-06-09,1
2020-06-10,6
2020-06-11,3
2020-06-12,2
2020-06-13,0
2020-06-14,2
2020-06-15,0
2020-06-16,1
2020-06-17,1
2020-06-18,2
2020-06-19,2
2020-06-20,4
2020-06-21,7
2020-06-22,4
2020-06-23,12
2020-06-24,9
2020-06-25,11
2020-06-26,16
2020-06-27,11
2020-06-28,8
2020-06-29,13
2020-06-30,10
2020-07-01,14
2020-07-02,19
2020-07-03,26
2020-07-04,27
2020-07-05,21
2020-07-06,16
2020-07-07,27
2020-07-08,48
2020-07-09,22
2020-07-10,44
2020-07-11,35
2020-07-12,31
2020-07-13,26
2020-07-14,42
2020-07-15,38
2020-07-16,49
2020-07-17,51
2020-07-18,48
2020-07-19,38
2020-07-20,28
2020-07-21,47
2020-07-22,62
2020-07-23,64
2020-07-24,45
2020-07-25,35
2020-07-26,33
2020-07-27,23
2020-07-28,55
2020-07-29,53
2020-07-30,57
2020-07-31,57
2020-08-01,74
2020-08-02,74
2020-08-03,49
2020-08-04,49
2020-08-05,64
2020-08-06,65
2020-08-07,50
2020-08-08,84
2020-08-09,56
2020-08-10,42
2020-08-11,36
2020-08-12,45
2020-08-13,56
2020-08-14,56
2020-08-15,52
2020-08-16,56
2020-08-17,35
2020-08-18,24
2020-08-19,62
2020-08-20,71
2020-08-21,50
2020-08-22,66
2020-08-23,31
2020-08-24,30
2020-08-25,35
2020-08-26,54
2020-08-27,69
2020-08-28,56
2020-08-29,55
2020-08-30,42
2020-08-31,25
2020-09-01,46
2020-09-02,40
2020-09-03,42
2020-09-04,24
2020-09-05,22
2020-09-06,21
2020-09-07,14
2020-09-08,12
2020-09-09,25
2020-09-10,30
2020-09-11,25
2020-09-12,36
2020-09-13,22
2020-09-14,16
2020-09-15,19
2020-09-16,29
2020-09-17,20
2020-09-18,24
2020-09-19,23
2020-09-20,16
2020-09-21,15
2020-09-22,14
2020-09-23,12
2020-09-24,21
2020-09-25,27
2020-09-26,23
2020-09-27,35
2020-09-28,20
2020-09-29,25
2020-09-30,28
2020-10-01,33
2020-10-02,30
2020-10-03,50
2020-10-04,35
2020-10-05,20
2020-10-06,20
2020-10-07,39
2020-10-08,44
2020-10-09,28
2020-10-10,100
2020-10-11,30
2020-10-12,18
2020-10-13,31
2020-10-14,47
2020-10-15,57
2020-10-16,52
2020-10-17,45
2020-10-18,40
2020-10-19,22
2020-10-20,33
2020-10-21,50
2020-10-22,45
2020-10-23,40
2020-10-24,41
2020-10-25,17
2020-10-26,34
2020-10-27,29
2020-10-28,44
2020-10-29,39
2020-10-30,61
2020-10-31,29
2020-11-01,33
2020-11-02,26
2020-11-03,30
2020-11-04,42
2020-11-05,32
2020-11-06,114
2020-11-07,69
2020-11-08,44
2020-11-09,51
2020-11-10,67
2020-11-11,116
2020-11-12,75
2020-11-13,83
2020-11-14,104
2020-11-15,80
2020-11-16,87
2020-11-17,88
2020-11-18,126
2020-11-19,108
2020-11-20,96
2020-11-21,172
2020-11-22,113
2020-11-23,89
2020-11-24,43
2020-11-25,99
2020-11-26,159
2020-11-27,103
2020-11-28,118
2020-11-29,138
2020-11-30,65
2020-12-01,103
2020-12-02,150
2020-12-03,149
2020-12-04,163
2020-12-05,168
