日付,公表分,累計人数
12月31日,,
12月30日,,
12月29日,,
12月28日,,
12月27日,,
12月26日,,
12月25日,,
12月24日,,
12月23日,,
12月22日,,
12月21日,,
12月20日,,
12月19日,,
12月18日,,
12月17日,,
12月16日,,
12月15日,,
12月14日,,
12月13日,,
12月12日,,
12月11日,,
12月10日,,
12月9日,,
12月8日,172,9583
12月7日,91,9411
12月6日,162,9320
12月5日,168,9158
12月4日,163,8990
12月3日,149,8827
12月2日,150,8678
12月1日,103,8528
日付,公表分,累計人数
11月30日,65,8425
11月29日,138,8360
11月28日,118,8222
11月27日,103,8104
11月26日,159,8001
11月25日,99,7842
11月24日,43,7743
11月23日,89,7700
11月22日,113,7611
11月21日,172,7498
11月20日,96,7326
11月19日,108,7230
11月18日,126,7122
11月17日,88,6996
11月16日,87,6908
11月15日,80,6821
11月14日,104,6741
11月13日,83,6637
11月12日,75,6554
11月11日,116,6479
11月10日,67,6363
11月9日,51,6296
11月8日,44,6245
11月7日,69,6201
11月6日,114,6132
11月5日,32,6018
11月4日,42,5986
11月3日,30,5944
11月2日,26,5914
11月1日,33,5888
日付,公表分,累計人数
10月31日,29,5855
10月30日,61,5826
10月29日,39,5765
10月28日,44,5726
10月27日,29,5682
10月26日,34,5653
10月25日,17,5619
10月24日,41,5602
10月23日,40,5561
10月22日,45,5521
10月21日,50,5476
10月20日,33,5426
10月19日,22,5393
10月18日,40,5371
10月17日,45,5331
10月16日,52,5286
10月15日,57,5234
10月14日,47,5177
10月13日,31,5130
10月12日,18,5099
10月11日,30,5081
10月10日,100,5051
10月9日,28,4951
10月8日,44,4923
10月7日,39,4879
10月6日,20,4840
10月5日,20,4820
10月4日,35,4800
10月3日,50,4765
10月2日,30,4715
10月1日,33,4685
日付,公表分,累計人数
9月30日,28,4652
9月29日,25,4624
9月28日,20,4599
9月27日,35,4579
9月26日,23,4544
9月25日,27,4521
9月24日,21,4494
9月23日,12,4473
9月22日,14,4461
9月21日,15,4447
9月20日,16,4432
9月19日,23,4416
9月18日,24,4393
9月17日,20,4369
9月16日,29,4349
9月15日,19,4320
9月14日,16,4301
9月13日,22,4285
9月12日,36,4263
9月11日,25,4227
9月10日,30,4202
9月9日,25,4172
9月8日,12,4147
9月7日,14,4135
9月6日,21,4121
9月5日,22,4100
9月4日,24,4078
9月3日,42,4054
9月2日,40,4012
9月1日,46,3972
日付,公表分,累計人数
8月31日,25,3926
8月30日,42,3901
8月29日,55,3859
8月28日,56,3804
8月27日,69,3748
8月26日,54,3679
8月25日,35,3625
8月24日,30,3590
8月23日,31,3560
8月22日,66,3529
8月21日,50,3463
8月20日,71,3413
8月19日,62,3342
8月18日,24,3280
8月17日,35,3256
8月16日,56,3221
8月15日,52,3165
8月14日,56,3113
8月13日,56,3057
8月12日,45,3001
8月11日,36,2956
8月10日,42,2920
8月9日,56,2878
8月8日,84,2822
8月7日,50,2738
8月6日,65,2688
8月5日,64,2623
8月4日,49,2559
8月3日,49,2510
8月2日,74,2461
8月1日,74,2387
日付,公表分,累計人数
7月31日,57,2313
7月30日,57,2256
7月29日,53,2199
7月28日,55,2146
7月27日,23,2091
7月26日,33,2068
7月25日,35,2035
7月24日,45,2000
7月23日,64,1955
7月22日,62,1891
7月21日,47,1829
7月20日,28,1782
7月19日,38,1754
7月18日,48,1716
7月17日,51,1668
7月16日,49,1617
7月15日,38,1568
7月14日,42,1530
7月13日,26,1488
7月12日,31,1462
7月11日,35,1431
7月10日,44,1396
7月9日,22,1352
7月8日,48,1330
7月7日,27,1282
7月6日,16,1255
