新型コロナウイルス感染者数（検査確定日別、公表日別、直近7日間平均）,,,,,,,,,,,
,,,,,,,,令和2年11月17日時点,,,
,,,,,,,,,,,
,検査確定日,感染者数（人）,,公表日,感染者数（人）,,公表日,直近7日間平均感染者数（人）,,,
,43860,2,,43860,2,,43860,,,,
,43861,1,,43861,1,,43861,,,,
,43862,0,,43862,0,,43862,,,,
,43863,0,,43863,0,,43863,,,,
,43864,0,,43864,0,,43864,,,,
,43865,1,,43865,1,,43865,,,,
,43866,1,,43866,1,,43866,0.714286,,,
,43867,0,,43867,0,,43867,0.428571,,,
,43868,0,,43868,0,,43868,0.285714,,,
,43869,0,,43869,0,,43869,0.285714,,,
,43870,0,,43870,0,,43870,0.285714,,,
,43871,1,,43871,0,,43871,0.285714,,,
,43872,0,,43872,1,,43872,0.285714,,,
,43873,0,,43873,0,,43873,0.142857,,,
,43874,1,,43874,1,,43874,0.285714,,,
,43875,0,,43875,0,,43875,0.285714,,,
,43876,0,,43876,0,,43876,0.285714,,,
,43877,0,,43877,0,,43877,0.285714,,,
,43878,0,,43878,0,,43878,0.285714,,,
,43879,0,,43879,0,,43879,0.142857,,,
,43880,0,,43880,0,,43880,0.142857,,,
,43881,2,,43881,1,,43881,0.142857,,,
,43882,2,,43882,1,,43882,0.285714,,,
,43883,2,,43883,3,,43883,0.714286,,,
,43884,0,,43884,1,,43884,0.857143,,,
,43885,0,,43885,0,,43885,0.857143,,,
,43886,2,,43886,0,,43886,0.857143,,,
,43887,1,,43887,3,,43887,1.285714,,,
,43888,0,,43888,0,,43888,1.142857,,,
,43889,0,,43889,0,,43889,1,,,
,43890,0,,43890,0,,43890,0.571429,,,
,43891,1,,43891,1,,43891,0.571429,,,
,43892,0,,43892,0,,43892,0.571429,,,
,43893,1,,43893,0,,43893,0.571429,,,
,43894,0,,43894,1,,43894,0.285714,,,
,43895,1,,43895,0,,43895,0.285714,,,
,43896,4,,43896,2,,43896,0.571429,,,
,43897,1,,43897,4,,43897,1.142857,,,
,43898,1,,43898,0,,43898,1,,,
,43899,0,,43899,1,,43899,1.142857,,,
