公表日,感染者数（人）
2020-01-30,2
2020-01-31,1
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,1
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,1
2020-02-22,3
2020-02-23,1
2020-02-24,0
2020-02-25,0
2020-02-26,3
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,1
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,2
2020-03-07,4
2020-03-08,0
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,1
2020-03-16,0
2020-03-17,0
2020-03-18,2
2020-03-19,3
2020-03-20,5
2020-03-21,1
2020-03-22,2
2020-03-23,3
2020-03-24,1
2020-03-25,5
2020-03-26,3
2020-03-27,8
2020-03-28,62
2020-03-29,33
2020-03-30,0
2020-03-31,13
2020-04-01,14
2020-04-02,5
2020-04-03,20
2020-04-04,26
2020-04-05,26
2020-04-06,18
2020-04-07,13
2020-04-08,34
2020-04-09,30
2020-04-10,33
2020-04-11,36
2020-04-12,44
2020-04-13,19
2020-04-14,16
2020-04-15,35
2020-04-16,58
2020-04-17,35
2020-04-18,34
2020-04-19,18
2020-04-20,22
2020-04-21,21
2020-04-22,20
2020-04-23,24
2020-04-24,18
2020-04-25,8
2020-04-26,8
2020-04-27,7
2020-04-28,8
2020-04-29,5
2020-04-30,9
2020-05-01,6
2020-05-02,6
2020-05-03,5
2020-05-04,5
2020-05-05,1
2020-05-06,2
2020-05-07,5
2020-05-08,3
2020-05-09,3
2020-05-10,0
2020-05-11,3
2020-05-12,3
2020-05-13,2
2020-05-14,0
2020-05-15,2
2020-05-16,8
2020-05-17,0
2020-05-18,2
2020-05-19,0
2020-05-20,1
2020-05-21,3
2020-05-22,0
2020-05-23,0
43975,0
43976,0
43977,0
43978,1
43979,1
43980,0
43981,1
43982,2
43983,0
43984,1
2020-06-03,1
2020-06-04,0
2020-06-05,1
2020-06-06,0
2020-06-07,3
2020-06-08,0
2020-06-09,3
2020-06-10,2
2020-06-11,3
2020-06-12,3
2020-06-13,1
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,1
2020-06-18,2
2020-06-19,0
2020-06-20,2
2020-06-21,0
2020-06-22,2
2020-06-23,3
2020-06-24,4
2020-06-25,4
2020-06-26,4
2020-06-27,5
2020-06-28,3
2020-06-29,4
2020-06-30,7
2020-07-01,7
2020-07-02,11
2020-07-03,9
2020-07-04,16
2020-07-05,7
2020-07-06,9
2020-07-07,11
2020-07-08,10
2020-07-09,22
2020-07-10,12
2020-07-11,14
2020-07-12,31
2020-07-13,18
2020-07-14,25
2020-07-15,29
2020-07-16,32
2020-07-17,21
2020-07-18,32
2020-07-19,24
2020-07-20,18
2020-07-21,15
2020-07-22,40
2020-07-23,33
2020-07-24,26
2020-07-25,21
2020-07-26,22
2020-07-27,24
2020-07-28,23
2020-07-29,49
2020-07-30,49
2020-07-31,36
2020-08-01,73
2020-08-02,51
2020-08-03,43
2020-08-04,47
2020-08-05,50
2020-08-06,76
2020-08-07,65
2020-08-08,53
2020-08-09,46
2020-08-10,41
2020-08-11,18
2020-08-12,34
2020-08-13,46
2020-08-14,51
2020-08-15,60
2020-08-16,48
2020-08-17,32
2020-08-18,37
2020-08-19,46
2020-08-20,64
2020-08-21,54
2020-08-22,43
2020-08-23,36
2020-08-24,27
