city_case_number,perf_case_number
1,57
2,119
3,140
4,174
5,350
6,351
7,352
8,353
9,354
10,475
11,476
12,477
13,478
14,560
15,606
16,673
17,674
18,675
19,676
20,710
21,753
22,754
23,790
24,1000
25,1041
26,1076
27,1077
28,1303
29,1522
30,1654
31,1744
32,1826
33,1827
34,1828
35,1829
36,1830
37,1919
38,1920
39,1921
40,2107
41,2108
42,2109
43,2188
44,2189
45,2190
46,2254
47,2255
48,2288
49,2355
50,2356
51,2357
52,2358
53,2432
54,2433
55,2434
56,2487
57,2658
58,2659
59,2660
60,2661
61,2662
62,2663
63,2664
64,2665
65,2751
66,2752
67,2753
68,2754
69,2835
70,2949
71,2950
72,2951
73,2952
74,2953
75,2954
76,3059
77,3060
78,3061
79,3333
80,3334
81,3399
82,3400
83,3523
84,3906
85,3907
86,3990
87,3991
88,4084
89,4085
90,4086
91,4190
92,4272
93,4454
94,4455
95,4456
96,4457
97,4458
98,4459
99,4460
100,4461
101,4462
102,4518
103,4519
104,4604
105,4745
106,4963
107,4964
108,4965
109,5021
110,5022
111,5023
112,5024
113,5098
114,5099
115,5100
116,5289
117,5463
118,5464
119,5633
120,5827
121,5963
122,5964
123,6116
124,6117
125,6181
126,6182
127,6458
128,6595
129,6765
130,6766
131,6767
132,6768
133,6826
134,6827
135,6893
136,6894
137,6895
138,6896
139,6897
140,6898
141,6899
142,6900
143,6901
144,6902
145,6903
146,6904
147,6905
148,6906
149,7050
150,7051
151,7158
152,7215
153,7216
154,7217
155,7218
156,7219
157,7220
158,7221
159,7222
160,7223
161,7274
162,7275
163,7276
164,7277
165,7416
166,7417
167,7418
168,7419
169,7546
170,7547
171,7548
172,7594
173,7595
174,7596
175,7597
176,7598
177,7599
178,7600
179,7601
180,7602
181,7686
182,7687
183,7688
184,7689
185,7690
