city_case_number,perf_case_number
1,45
2,46
3,75
4,76
5,77
6,86
7,129
8,130
9,205
10,249
11,273
12,274
13,291
14,292
15,293
16,294
17,295
18,296
19,297
20,370
21,371
22,372
23,373
24,383
25,384
26,385
27,439
28,440
29,515
30,578
31,579
32,580
33,591
34,581
35,582
36,583
37,670
38,671
39,672
40,677
41,678
42,721
43,722
44,723
45,784
46,799
47,800
48,788
49,839
50,907
51,908
52,909
53,910
54,957
55,1109
56,1110
57,1387
58,1388
59,1399
60,1401
61,1420
62,1421
63,1445
64,1456
65,1586
66,1597
67,1629
68,1651
69,1652
70,1653
71,1686
72,1717
73,1825
74,1877
75,1878
76,1916
77,1917
78,1918
79,1998
80,1999
81,2000
82,2011
83,2040
84,2041
85,2099
86,2100
87,2101
88,2102
89,2103
90,2104
91,2105
92,2106
93,2160
94,2161
95,2162
96,2187
97,2207
98,2208
99,2241
100,2251
101,2252
102,2253
103,2287
104,2353
105,2354
106,2428
107,2429
108,2430
109,2431
110,2485
111,2486
112,2540
113,2541
114,2542
115,2543
116,2544
117,2545
118,2615
119,2616
120,2617
121,2651
122,2652
123,2653
124,2654
125,2655
126,2656
127,2657
128,2750
129,2831
130,2832
131,2833
132,2834
133,2940
134,2941
135,2942
136,2943
137,2944
138,2945
139,2946
140,2947
141,2948
142,3051
143,3052
144,3053
145,3054
146,3055
147,3056
148,3057
149,3058
150,3186
151,3187
152,3188
153,3189
154,3270
155,3305
156,3306
157,3307
158,3397
159,3398
160,3513
161,3514
162,3515
163,3516
164,3517
165,3518
166,3519
167,3520
168,3521
169,3522
170,3635
171,3636
172,3637
173,3638
174,3639
175,3640
176,3772
177,3773
178,3774
179,3775
180,3776
181,3855
182,3856
183,3903
184,3904
185,3905
186,3986
187,3987
188,3988
189,3989
190,4078
191,4079
192,4080
193,4081
194,4082
195,4083
196,4188
197,4189
198,4264
199,4265
200,4266
201,4267
202,4268
203,4269
204,4270
205,4271
206,4371
207,4372
208,4373
209,4423
210,4453
211,4667
212,4668
213,4669
214,4670
215,4744
216,4848
217,4849
218,4850
219,4851
220,4915
221,5017
222,5018
223,5019
224,5020
225,5097
226,5178
227,5179
228,5180
229,5181
230,5355
231,5356
232,5459
233,5460
234,5461
235,5462
236,5525
237,5526
238,5527
239,5628
240,5629
241,5630
242,5631
243,5632
244,5742
245,5743
246,5744
247,5745
248,5826
249,6016
250,6113
251,6114
252,6115
253,6178
254,6179
255,6180
256,6257
257,6258
258,6259
259,6260
260,6329
261,6387
262,6388
263,6389
264,6409
265,6516
266,6592
267,6593
268,6594
269,6685
270,6686
271,6764
272,6825
273,7048
274,7049
275,7110
276,7147
277,7157
278,7214
279,7270
280,7271
281,7272
282,7273
283,7339
284,7340
285,7341
286,7342
287,7412
288,7413
289,7414
290,7415
291,7481
292,7482
293,7518
294,7519
295,7542
296,7543
297,7544
298,7545
299,7592
300,7593
301,7682
302,7683
303,7684
304,7685
