city_case_number, perf_case_number
     1,50
     2,68
     3,78
     4,79
     5,85
     6,87
     7,88
     8,89
     9,95
    10,103
    11,104
    12,105
    13,106
    14,111
    15,112
    16,113
    17,114
    18,115
    19,116
    20,131
    21,132
    22,133
    23,145
    24,146
    25,147
    26,148
    27,149
    28,150
    29,151
    30,152
    31,167
    32,168
    33,169
    34,170
    35,171
    36,172
    37,173
    38,187
    39,188
    40,197
    41,198
    42,199
    43,200
    44,201
    45,202
    46,203
    47,204
    48,225
    49,226
    50,227
    51,228
    52,229
    53,230
    54,231
    55,232
    56,250
    57,251
    58,252
    59,253
    60,254
    61,267
    62,268
    63,275
    64,276
    65,337
    66,338
    67,339
    68,340
    69,341
    70,342
    71,343
    72,344
    73,345
    74,346
    75,359
    76,360
    77,361
    78,362
    79,363
    80,364
    81,365
    82,366
    83,367
    84,368
    85,369
    86,421
    87,422
    88,423
    89,424
    90,425
    91,426
    92,427
    93,428
    94,429
    95,430
    96,431
    97,449
    98,450
    99,451
   100,452
   101,453
   102,454
   103,455
   104,456
   105,457
   106,458
   107,459
   108,460
   109,461
   110,462
   111,463
   112,464
   113,465
   114,466
   115,516
   116,517
   117,518
   118,519
   119,520
   120,521
   121,522
   122,523
   123,524
   124,525
   125,526
   126,554
   127,555
   128,556
   129,576
   130,592
   131,593
   132,594
   133,595
   134,596
   135,597
   136,598
   137,599
   138,600
   139,601
   140,602
   141,603
   142,653
   143,654
   144,655
   145,656
   146,657
   147,658
   148,659
   149,660
   150,661
   151,662
   152,663
   153,664
   154,665
   155,692
   156,693
   157,694
   158,695
   159,696
   160,697
   161,698
   162,699
   163,700
   164,701
   165,737
   166,738
   167,739
   168,740
   169,741
   170,742
   171,743
   172,744
   173,768
   174,769
   175,770
   176,771
   177,772
   178,773
   179,774
   180,775
   181,776
   182,777
   183,778
   184,779
   185,780
   186,781
   187,782
   188,783
   189,796
   190,797
   191,798
   192,814
   193,828
   194,829
   195,830
   196,831
   197,832
   198,833
   199,834
   200,835
   201,836
   202,837
   203,867
   204,868
   205,869
   206,870
   207,871
   208,872
   209,873
   210,874
   211,875
   212,876
   213,899
   214,900
   215,901
   216,902
   217,903
   218,904
   219,905
   220,934
   221,935
   222,936
   223,937
   224,938
   225,953
   226,954
   227,955
   228,956
   229,960
   230,961
   231,974
   232,995
   233,996
   234,997
   235,998
   236,999
   237,1023
   238,1024
   239,1038
   240,1039
   241,1040
   242,1067
   243,1068
   244,1069
   245,1070
   246,1071
   247,1072
   248,1073
   249,1074
   250,1098
   251,1099
   252,1107
   253,1108
   254,1131
   255,1148
   256,1149
   257,1150
   258,1171
   259,1204
   260,1233
   261,1234
   262,1235
   263,1248
   264,1249
   265,1250
   266,1277
   267,1299
   268,1300
   269,1328
   270,1349
   271,1364
   272,1380
   273,1381
   274,1382
   275,1386
   276,1389
   277,1390
   278,1391
   279,1392
   280,1393
   281,1398
   282,1407
   283,1408
   284,1409
   285,1417
   286,1435
   287,1444
   288,1465
   289,1471
   290,1472
   291,1502
   292,1505
   293,1506
   294,1507
   295,1508
   296,1509
   297,1517
   298,1518
   299,1519
   300,1520
   301,1521
   302,1534
   303,1535
   304,1536
   305,1537
   306,1538
   307,1539
   308,1540
   309,1541
   310,1542
   311,1543
   312,1544
   313,1559
   314,1560
   315,1561
   316,1562
   317,1563
   318,1564
   319,1576
   320,1577
   321,1578
   322,1579
   323,1580
   324,1581
   325,1582
   326,1583
   327,1584
   328,1585
   329,1593
   330,1594
   331,1595
   332,1596
   333,1603
   334,1604
   335,1605
   336,1606
   337,1616
   338,1617
   339,1618
   340,1619
   341,1620
   342,1621
   343,1622
   344,1623
   345,1624
   346,1642
   347,1643
   348,1644
   349,1645
   350,1646
   351,1647
   352,1648
   353,1675
   354,1676
   355,1677
   356,1678
   357,1679
   358,1680
   359,1681
   360,1682
   361,1683
   362,1684
   363,1685
   364,1705
   365,1706
   366,1707
   367,1708
   368,1709
   369,1710
   370,1711
   371,1712
   372,1713
   373,1734
   374,1735
   375,1736
   376,1737
   377,1738
   378,1739
   379,1740
   380,1741
   381,1742
   382,1743
   383,1757
   384,1758
   385,1759
   386,1779
   387,1780
   388,1781
   389,1782
   390,1783
   391,1784
   392,1810
   393,1811
   394,1812
   395,1813
   396,1814
   397,1815
   398,1816
   399,1817
   400,1818
   401,1819
   402,1820
   403,1856
   404,1857
   405,1858
   406,1859
   407,1860
   408,1861
   409,1862
   410,1863
   411,1864
   412,1865
   413,1866
   414,1867
   415,1868
   416,1869
   417,1901
   418,1902
   419,1903
   420,1904
   421,1905
   422,1906
   423,1907
   424,1908
   425,1909
   426,1910
   427,1950
   428,1951
   429,1952
   430,1953
   431,1954
   432,1955
   433,1956
   434,1957
   435,1958
   436,1959
   437,1960
   438,1961
   439,1962
   440,1963
   441,1964
   442,1965
   443,1993
   444,1994
   445,1995
   446,1996
   447,1997
   448,2005
   449,2027
   450,2028
   451,2029
   452,2030
   453,2031
   454,2032
   455,2033
   456,2034
   457,2035
   458,2036
   459,2037
   460,2082
   461,2083
   462,2084
   463,2085
   464,2086
   465,2087
   466,2088
   467,2089
   468,2090
   469,2091
   470,2092
   471,2093
   472,2094
   473,2095
   474,2096
   475,2140
   476,2141
   477,2142
   478,2143
   479,2144
   480,2145
   481,2146
   482,2147
   483,2148
   484,2149
   485,2150
   486,2151
   487,2152
   488,2153
   489,2170
   490,2171
   491,2172
   492,2173
   493,2174
   494,2175
   495,2176
   496,2177
   497,2178
   498,2179
   499,2180
