city_case_number,perf_case_number
1,5
2,7
3,8
4,9
5,12
6,13
7,14
8,15
9,16
10,17
11,21
12,22
13,25
14,26
15,28
16,29
17,30
18,31
19,34
20,35
21,36
22,52
23,53
24,54
25,55
26,58
27,67
28,94
29,117
30,128
31,142
32,184
33,185
34,206
35,233
36,234
37,235
38,621
39,347
40,348
41,349
42,432
43,433
44,434
45,435
46,436
47,437
48,467
49,468
50,469
51,470
52,471
53,527
54,557
55,577
56,666
57,667
58,702
59,703
60,704
61,705
62,706
63,707
64,708
65,745
66,746
67,747
68,748
69,749
70,838
71,939
72,940
73,941
74,1025
75,1100
76,1144
77,1151
78,1251
79,1350
80,1418
81,1419
82,1425
83,1426
84,1427
85,1432
86,1433
87,1434
88,1439
89,1452
90,1503
91,1545
92,1546
93,1565
94,1625
95,1626
96,1627
97,1628
98,1649
99,1650
100,1714
101,1715
102,1716
103,1760
104,1761
105,1785
106,1786
107,1821
108,1822
109,1823
110,1870
111,1871
112,1872
113,1873
114,1874
115,1875
116,1911
117,1912
118,1913
119,1966
120,1967
121,1968
122,1969
123,1970
124,2006
125,2007
126,2038
127,2097
128,2098
129,2154
130,2155
131,2156
132,2157
133,2158
134,2159
135,2184
136,2185
137,2235
138,2236
139,2284
140,2285
141,2348
142,2349
143,2350
144,2351
145,2352
146,2481
147,2482
148,2483
149,2534
150,2535
151,2536
152,2609
153,2610
154,2611
155,2643
156,2644
157,2645
158,2646
159,2747
160,2748
161,2821
162,2822
163,2823
164,2824
165,2825
166,2826
167,2827
168,2828
169,2924
170,2925
171,2926
172,2927
173,2928
174,2929
175,2930
176,2931
177,2932
178,3159
179,3160
180,3161
181,3162
182,3163
183,3164
184,3165
185,3166
186,3167
187,3168
188,3169
189,3170
190,3171
191,3172
192,3173
193,3174
194,3175
195,3176
196,3177
197,3178
198,3257
199,3258
200,3259
201,3260
202,3261
203,3262
204,3263
205,3330
206,3331
207,3389
208,3390
209,3391
210,3392
211,3505
212,3506
213,3507
214,3508
215,3624
216,3625
217,3626
218,3627
219,3628
220,3629
221,3763
222,3764
223,3846
224,3847
225,3848
226,3849
227,3850
228,3851
229,3852
230,3889
231,3890
232,3891
233,3892
234,3893
235,3894
236,3895
237,3896
238,3897
239,4066
240,4067
241,4068
242,4069
243,4070
244,4071
245,4072
246,4173
247,4174
248,4175
249,4176
250,4177
251,4178
252,4179
253,4180
254,4181
255,4182
256,4183
257,4259
258,4260
259,4261
260,4357
261,4358
262,4359
263,4360
264,4419
265,4420
266,4421
267,4422
268,4447
269,4448
270,4449
271,4450
272,4595
273,4596
274,4597
275,4598
276,4599
277,4600
278,4664
279,4727
280,4728
281,4843
282,4844
283,4903
284,4904
285,4905
286,4906
287,4907
288,4908
289,4909
290,5010
291,5011
292,5095
293,5176
294,5286
295,5287
296,5350
297,5351
298,5352
299,5427
300,5428
301,5429
302,5430
303,5431
304,5518
305,5519
306,5520
307,5619
308,5620
309,5621
310,5622
311,5623
312,5738
313,5739
314,5813
315,5814
316,5815
317,5816
318,5817
319,5818
320,5819
321,5820
322,5821
323,5893
324,5894
325,5895
326,5944
327,5945
328,5946
329,5947
330,6013
331,6014
332,6109
333,6110
334,6111
335,6174
336,6175
337,6176
338,6446
339,6447
340,6452
341,6453
342,6454
343,6455
344,6456
345,6513
346,6514
347,6586
348,6587
349,6588
350,6678
351,6679
352,6680
353,6681
354,6744
355,6745
356,6746
357,6747
358,6748
359,6820
360,6821
361,6822
362,6823
363,6978
364,7268
365,7269
366,7336
367,7410
368,7535
369,7536
370,7537
371,7538
372,7539
373,7583
