city_case_number, perf_case_number
     1,6
     2,10
     3,11
     4,24
     5,32
     6,33
     7,41
     8,47
     9,48
    10,49
    11,59
    12,60
    13,61
    14,70
    15,74
    16,93
    17,99
    18,100
    19,101
    20,102
    21,107
    22,108
    23,109
    24,110
    25,123
    26,124
    27,125
    28,143
    29,144
    30,163
    31,175
    32,176
    33,177
    34,178
    35,179
    36,180
    37,181
    38,182
    39,183
    40,208
    41,209
    42,210
    43,211
    44,212
    45,213
    46,214
    47,215
    48,216
    49,217
    50,218
    51,219
    52,220
    53,221
    54,222
    55,223
    56,224
    57,255
    58,256
    59,257
    60,258
    61,259
    62,260
    63,261
    64,262
    65,263
    66,264
    67,265
    68,266
    69,282
    70,283
    71,284
    72,285
    73,286
    74,287
    75,288
    76,289
    77,290
    78,319
    79,320
    80,321
    81,322
    82,323
    83,324
    84,325
    85,326
    86,327
    87,328
    88,329
    89,330
    90,331
    91,332
    92,333
    93,334
    94,335
    95,336
    96,376
    97,377
    98,378
    99,379
   100,380
   101,381
   102,382
   103,403
   104,404
   105,405
   106,406
   107,407
   108,408
   109,409
   110,410
   111,411
   112,412
   113,413
   114,414
   115,415
   116,416
   117,417
   118,418
   119,419
   120,420
   121,479
   122,480
   123,481
   124,482
   125,483
   126,484
   127,485
   128,486
   129,487
   130,488
   131,489
   132,490
   133,491
   134,492
   135,493
   136,494
   137,495
   138,496
   139,497
   140,498
   141,499
   142,500
   143,501
   144,502
   145,503
   146,504
   147,505
   148,506
   149,507
   150,508
   151,509
   152,510
   153,511
   154,512
   155,513
   156,514
   157,528
   158,529
   159,530
   160,531
   161,532
   162,533
   163,534
   164,535
   165,536
   166,537
   167,538
   168,539
   169,540
   170,541
   171,542
   172,543
   173,544
   174,545
   175,569
   176,570
   177,571
   178,572
   179,573
   180,574
   181,575
   182,607
   183,608
   184,609
   185,610
   186,611
   187,612
   188,613
   189,614
   190,615
   191,616
   192,617
   193,618
   194,619
   195,620
   196,630
   197,631
   198,632
   199,633
   200,634
   201,635
   202,636
   203,637
   204,638
   205,639
   206,640
   207,641
   208,642
   209,643
   210,644
   211,645
   212,646
   213,647
   214,648
   215,649
   216,650
   217,651
   218,652
   219,686
   220,687
   221,688
   222,689
   223,690
   224,691
   225,724
   226,725
   227,726
   228,727
   229,728
   230,729
   231,730
   232,731
   233,732
   234,733
   235,734
   236,735
   237,736
   238,755
   239,756
   240,757
   241,758
   242,759
   243,760
   244,761
   245,762
   246,763
   247,764
   248,765
   249,766
   250,767
   251,793
   252,794
   253,795
   254,810
   255,811
   256,812
   257,813
   258,817
   259,818
   260,819
   261,820
   262,821
   263,822
   264,823
   265,824
   266,825
   267,826
   268,827
   269,846
   270,847
   271,848
   272,849
   273,850
   274,851
   275,852
   276,853
   277,854
