city_case_number, perf_case_number
     1,56
     2,62
     3,69
     4,118
     5,126
     6,127
     7,141
     8,162
     9,186
    10,207
    11,236
    12,237
    13,238
    14,239
    15,269
    16,270
    17,271
    18,272
    19,280
    20,281
    21,374
    22,375
    23,438
    24,474
    25,472
    26,473
    27,558
    28,559
    29,604
    30,605
    31,668
    32,669
    33,709
    34,750
    35,751
    36,752
    37,877
    38,878
    39,906
    40,962
    41,963
    42,964
    43,1026
    44,1075
    45,1172
    46,1236
    47,1252
    48,1263
    49,1264
    50,1301
    51,1302
    52,1322
    53,1323
    54,1341
    55,1342
    56,1371
    57,1566
    58,1718
    59,1719
    60,1720
    61,1787
    62,1824
    63,1876
    64,1914
    65,1915
    66,2008
    67,2009
    68,2010
    69,2039
    70,2186
    71,2237
    72,2238
    73,2239
    74,2240
    75,2286
    76,2427
    77,2484
    78,2537
    79,2538
    80,2539
    81,2612
    82,2613
    83,2614
    84,2647
    85,2648
    86,2649
    87,2650
    88,2749
    89,2829
    90,2830
    91,2933
    92,2934
    93,2935
    94,2936
    95,2937
    96,2938
    97,2939
    98,3046
    99,3047
   100,3048
   101,3049
   102,3050
   103,3179
   104,3180
   105,3181
   106,3182
   107,3183
   108,3184
   109,3185
   110,3264
   111,3265
   112,3266
   113,3267
   114,3268
   115,3269
   116,3303
   117,3304
   118,3332
   119,3393
   120,3394
   121,3395
   122,3396
   123,3509
   124,3510
   125,3511
   126,3512
   127,3630
   128,3631
   129,3632
   130,3633
   131,3634
   132,3765
   133,3766
   134,3767
   135,3768
   136,3769
   137,3770
   138,3771
   139,3853
   140,3854
   141,3898
   142,3899
   143,3900
   144,3901
   145,3902
   146,3980
   147,3981
   148,3982
   149,3983
   150,3984
   151,3985
   152,4073
   153,4074
   154,4075
   155,4076
   156,4077
   157,4184
   158,4185
   159,4186
   160,4187
   161,4262
   162,4263
   163,4361
   164,4362
   165,4363
   166,4364
   167,4365
   168,4366
   169,4367
   170,4368
   171,4369
   172,4370
   173,4451
   174,4452
   175,4512
   176,4513
   177,4514
   178,4515
   179,4516
   180,4517
   181,4601
   182,4602
   183,4603
   184,4665
   185,4666
   186,4729
   187,4730
   188,4731
   189,4732
   190,4733
   191,4734
   192,4735
   193,4736
   194,4737
   195,4738
   196,4739
   197,4740
   198,4741
   199,4742
   200,4743
   201,4845
   202,4846
   203,4847
   204,4910
   205,4911
   206,4912
   207,4913
   208,4914
   209,4959
   210,4960
   211,4961
   212,4962
   213,5012
   214,5013
   215,5014
   216,5015
   217,5016
   218,5096
   219,5177
   220,5288
   221,5353
   222,5354
   223,5432
   224,5433
   225,5434
   226,5435
   227,5457
   228,5458
   229,5521
   230,5522
   231,5523
   232,5524
   233,5624
   234,5625
   235,5626
   236,5627
   237,5740
   238,5741
   239,5822
   240,5823
   241,5824
   242,5825
   243,5948
   244,5960
   245,5961
   246,5962
   247,6015
   248,6112
   249,6177
   250,6256
   251,6457
   252,6515
   253,6589
   254,6590
   255,6591
   256,6682
   257,6683
   258,6684
   259,6749
   260,6750
   261,6751
   262,6761
   263,6762
   264,6763
   265,6824
   266,6890
   267,6891
   268,6892
   269,6979
   270,6980
   271,6981
   272,6982
   273,6983
   274,6984
   275,6985
   276,7043
   277,7044
   278,7045
   279,7046
   280,7047
   281,7106
   282,7107
   283,7108
   284,7109
   285,7145
   286,7146
   287,7156
   288,7213
   289,7337
   290,7338
   291,7411
   292,7480
   293,7540
   294,7541
