日付,検査件数,陽性人数,陽性累計,現在陽性者数,退院,退院済累計,退院判明,退院判明累計,死亡,リンク不明者
2020-01-26,1,0,0,0,0,0,0,0,0,0
2020-01-27,1,0,0,0,0,0,0,0,0,0
2020-01-28,1,0,0,0,0,0,0,0,0,0
2020-01-29,0,1,1,1,0,0,0,0,0,0
2020-01-30,0,0,1,1,0,0,0,0,0,0
2020-01-31,1,0,1,1,0,0,0,0,0,0
2020-02-01,5,0,1,1,0,0,0,0,0,0
2020-02-02,0,0,1,1,0,0,0,0,0,0
2020-02-03,0,0,1,1,0,0,0,0,0,0
2020-02-04,0,0,1,1,0,0,0,0,0,0
2020-02-05,0,0,1,1,0,0,0,0,0,0
2020-02-06,1,0,1,1,0,0,0,0,0,0
2020-02-07,1,0,1,1,0,0,0,0,0,0
2020-02-08,0,0,1,1,0,0,0,0,0,0
2020-02-09,0,0,1,1,0,0,0,0,0,0
2020-02-10,5,0,1,1,0,0,0,0,0,0
2020-02-11,1,0,1,1,0,0,0,0,0,0
2020-02-12,0,0,1,1,0,0,0,0,0,0
2020-02-13,0,0,1,1,0,0,0,0,0,0
2020-02-14,3,0,1,1,0,0,0,0,0,0
2020-02-15,15,0,1,1,0,0,0,0,0,0
2020-02-16,3,0,1,1,0,0,0,0,0,0
2020-02-17,6,0,1,1,0,0,0,0,0,0
2020-02-18,8,0,1,1,0,0,0,0,0,0
2020-02-19,14,0,1,1,0,0,0,0,0,0
2020-02-20,30,0,1,1,0,0,0,0,0,0
2020-02-21,14,0,1,1,0,0,0,0,0,0
2020-02-22,16,0,1,1,0,0,0,0,0,0
2020-02-23,13,0,1,1,0,0,0,0,0,0
2020-02-24,3,0,1,1,0,0,0,0,0,0
2020-02-25,11,0,1,1,0,0,0,0,0,0
2020-02-26,27,0,1,1,0,0,0,0,0,0
2020-02-27,32,1,2,2,0,0,0,0,0,0
2020-02-28,57,2,4,4,0,0,0,0,0,0
2020-02-29,45,0,4,4,0,0,0,0,0,0
2020-03-01,50,0,4,4,0,0,0,0,0,0
2020-03-02,37,2,6,6,0,0,0,0,0,0
2020-03-03,101,2,8,7,1,1,1,1,0,0
2020-03-04,68,9,17,16,0,1,0,1,0,1
2020-03-05,89,1,18,17,0,1,0,1,0,0
2020-03-06,118,13,31,30,0,1,0,1,0,0
2020-03-07,100,10,41,40,0,1,0,1,0,1
2020-03-08,101,14,55,53,1,2,1,2,0,2
2020-03-09,23,0,55,53,0,2,0,2,0,0
2020-03-10,181,18,73,69,2,4,0,2,0,8
2020-03-11,120,7,80,73,3,7,3,5,0,2
2020-03-12,123,9,89,77,5,12,5,10,0,4
2020-03-13,109,3,92,75,5,17,4,14,0,2
2020-03-14,131,10,102,81,4,21,4,18,0,7
2020-03-15,63,4,106,82,3,24,3,21,0,1
2020-03-16,29,2,108,84,0,24,0,21,0,0
2020-03-17,153,4,112,85,3,27,3,24,0,0
2020-03-18,114,5,117,83,6,33,6,30,1,4
2020-03-19,101,2,119,77,8,41,7,37,0,0
2020-03-20,128,4,123,78,3,44,2,39,0,2
2020-03-21,45,2,125,72,8,52,9,48,0,2
2020-03-22,52,6,131,75,2,54,3,51,1,3
2020-03-23,47,3,134,73,5,59,4,55,0,1
2020-03-24,172,8,142,76,5,64,2,57,0,5
2020-03-25,99,7,149,77,6,70,7,64,0,3
2020-03-26,138,7,156,81,3,73,2,66,0,5
2020-03-27,153,20,176,97,4,77,1,67,0,15
2020-03-28,191,15,191,109,3,80,6,73,0,3
2020-03-29,82,17,208,126,0,80,0,73,0,4
2020-03-30,79,8,216,131,3,83,7,80,0,1
2020-03-31,292,28,244,154,5,88,4,84,0,10
2020-04-01,249,34,278,181,7,95,6,90,0,10
2020-04-02,247,33,311,211,2,97,3,93,1,20
2020-04-03,274,35,346,238,7,104,5,98,1,23
2020-04-04,355,41,387,273,6,110,1,99,0,32
2020-04-05,140,21,408,292,2,112,2,101,0,15
2020-04-06,163,20,428,308,4,116,4,105,0,16
2020-04-07,387,53,481,359,2,118,8,113,0,40
2020-04-08,362,43,524,399,1,119,2,115,2,33
2020-04-09,417,92,616,487,4,123,1,116,0,70
2020-04-10,449,80,696,560,7,130,12,128,0,71
2020-04-11,427,70,766,617,13,143,9,137,0,51
2020-04-12,286,45,811,657,6,148,7,144,0,30
2020-04-13,142,24,835,677,4,152,4,148,0,20
2020-04-14,439,59,894,716,18,171,17,165,1,36
2020-04-15,541,74,968,781,8,179,4,169,1,54
2020-04-16,539,52,1020,810,23,202,15,184,0,32
2020-04-17,497,55,1075,853,12,213,29,213,1,31
2020-04-18,604,88,1163,926,17,227,14,227,1,33
2020-04-19,446,48,1211,962,12,237,10,237,2,24
2020-04-20,465,84,1295,1017,21,264,19,256,1,7
2020-04-21,481,54,1349,1059,11,275,17,273,2,21
2020-04-22,592,31,1380,1070,16,291,18,291,3,11
2020-04-23,544,35,1415,1063,39,330,39,330,4,8
2020-04-24,576,31,1446,1071,19,349,19,349,4,15
2020-04-25,442,29,1475,1043,55,404,55,404,2,11
2020-04-26,163,16,1491,1037,20,424,20,424,2,5
2020-04-27,392,30,1521,1047,18,442,18,442,2,18
2020-04-28,503,32,1553,944,131,573,131,573,4,10
2020-04-29,685,44,1597,935,50,623,50,623,3,12
2020-04-30,639,28,1625,944,17,640,17,640,2,9
2020-05-01,521,14,1639,923,33,673,33,673,2,8
2020-05-02,663,17,1656,894,43,716,43,716,3,5
2020-05-03,607,10,1666,872,28,744,28,744,4,3
2020-05-04,521,13,1679,815,67,811,67,811,3,5
2020-05-05,344,7,1686,794,25,836,25,836,3,3
2020-05-06,507,12,1698,742,64,900,64,900,0,6
2020-05-07,462,8,1706,726,21,921,21,921,3,3
2020-05-08,589,10,1716,679,57,978,57,978,0,4
2020-05-09,764,16,1732,730,12,990,12,990,0,6
2020-05-10,602,11,1743,653,41,1031,41,1031,0,4
2020-05-11,382,1,1744,615,37,1068,37,1068,2,1
2020-05-12,551,6,1750,588,33,1101,33,1101,0,2
2020-05-13,675,12,1762,524,75,1176,75,1176,1,2
2020-05-14,793,3,1765,474,52,1228,52,1228,1,1
2020-05-15,625,3,1768,446,28,1256,28,1256,3,1
2020-05-16,619,2,1770,435,9,1265,9,1265,4,0
