検査日,PCR検査実施件数（環境保健研究センター）,PCR検査実施件数（医療機関）,PCR検査実施結果（陽性）,PCR検査実施結果（陰性）,抗原検査実施件数（保健所）,抗原検査実施件数（医療機関）,抗原検査実施結果（陽性）,抗原検査実施結果（陰性）
2020/1/29,3,0,0,3,0,0,0,0
2020/1/31,1,0,0,1,0,0,0,0
2020/2/10,1,0,0,1,0,0,0,0
2020/2/11,1,0,0,1,0,0,0,0
2020/2/17,2,0,0,2,0,0,0,0
2020/2/18,2,0,0,2,0,0,0,0
2020/2/19,3,0,0,3,0,0,0,0
2020/2/20,1,0,0,1,0,0,0,0
2020/2/21,0,0,0,0,0,0,0,0
2020/2/22,4,0,0,4,0,0,0,0
2020/2/23,0,0,0,0,0,0,0,0
2020/2/24,1,0,0,1,0,0,0,0
2020/2/25,7,0,0,7,0,0,0,0
2020/2/26,2,0,0,2,0,0,0,0
2020/2/27,2,0,0,2,0,0,0,0
2020/2/28,4,0,0,4,0,0,0,0
2020/2/29,3,0,0,3,0,0,0,0
2020/3/1,1,0,0,1,0,0,0,0
2020/3/2,5,0,0,5,0,0,0,0
2020/3/3,9,0,0,9,0,0,0,0
2020/3/4,3,0,0,3,0,0,0,0
2020/3/5,8,0,0,8,0,0,0,0
2020/3/6,4,0,0,4,0,0,0,0
2020/3/7,6,0,0,6,0,0,0,0
2020/3/8,0,0,0,0,0,0,0,0
2020/3/9,6,0,0,6,0,0,0,0
2020/3/10,6,0,0,6,0,0,0,0
2020/3/11,5,0,0,5,0,0,0,0
2020/3/12,3,0,0,3,0,0,0,0
2020/3/13,5,0,0,5,0,0,0,0
2020/3/14,2,0,0,2,0,0,0,0
2020/3/15,1,0,0,1,0,0,0,0
2020/3/16,4,0,0,4,0,0,0,0
2020/3/17,9,0,1,8,0,0,0,0
2020/3/18,8,0,0,8,0,0,0,0
2020/3/19,15,0,0,15,0,0,0,0
2020/3/20,10,0,0,10,0,0,0,0
2020/3/21,6,0,0,6,0,0,0,0
2020/3/22,4,0,0,4,0,0,0,0
2020/3/23,5,0,0,5,0,0,0,0
2020/3/24,8,0,0,8,0,0,0,0
2020/3/25,9,0,0,9,0,0,0,0
2020/3/26,12,0,0,12,0,0,0,0
2020/3/27,19,0,0,19,0,0,0,0
2020/3/28,7,0,0,7,0,0,0,0
2020/3/29,3,0,0,3,0,0,0,0
2020/3/30,23,0,1,22,0,0,0,0
2020/3/31,33,0,0,33,0,0,0,0
2020/4/1,23,0,0,23,0,0,0,0
2020/4/2,21,0,0,21,0,0,0,0
2020/4/3,24,0,0,24,0,0,0,0
2020/4/4,12,0,0,12,0,0,0,0
2020/4/5,13,0,0,13,0,0,0,0
2020/4/6,24,0,0,24,0,0,0,0
2020/4/7,19,0,0,19,0,0,0,0
2020/4/8,21,0,1,20,0,0,0,0
2020/4/9,43,0,0,43,0,0,0,0
2020/4/10,25,0,1,24,0,0,0,0
2020/4/11,21,0,0,21,0,0,0,0
2020/4/12,17,0,4,13,0,0,0,0
2020/4/13,98,0,11,87,0,0,0,0
2020/4/14,84,0,1,83,0,0,0,0
2020/4/15,112,0,1,111,0,0,0,0
2020/4/16,134,0,1,133,0,0,0,0
2020/4/17,114,0,2,112,0,0,0,0
2020/4/18,66,0,1,65,0,0,0,0
2020/4/19,56,0,1,55,0,0,0,0
2020/4/20,70,0,2,68,0,0,0,0
2020/4/21,77,0,0,77,0,0,0,0
2020/4/22,43,0,0,43,0,0,0,0
2020/4/23,34,0,0,34,0,0,0,0
2020/4/24,43,0,0,43,0,0,0,0
2020/4/25,29,0,0,29,0,0,0,0
2020/4/26,13,0,0,13,0,0,0,0
2020/4/27,25,0,0,25,0,0,0,0
2020/4/28,59,0,0,59,0,0,0,0
2020/4/29,17,0,0,17,0,0,0,0
2020/4/30,30,0,0,30,0,0,0,0
2020/5/1,39,0,0,39,0,0,0,0
2020/5/2,29,0,0,29,0,0,0,0
2020/5/3,10,0,0,10,0,0,0,0
2020/5/4,10,0,0,10,0,0,0,0
2020/5/5,8,0,0,8,0,0,0,0
2020/5/6,14,0,0,14,0,0,0,0
2020/5/7,34,0,0,34,0,0,0,0
2020/5/8,33,0,0,33,0,0,0,0
2020/5/9,21,0,0,21,0,0,0,0
2020/5/10,11,0,0,11,0,0,0,0
2020/5/11,23,0,0,23,0,0,0,0
2020/5/12,19,0,0,19,0,0,0,0
2020/5/13,13,0,0,13,0,0,0,0
2020/5/14,28,0,0,28,0,0,0,0
2020/5/15,27,0,0,27,0,0,0,0
2020/5/16,21,0,0,21,0,0,0,0
2020/5/17,5,0,0,5,0,0,0,0
2020/5/18,25,0,0,25,0,0,0,0
2020/5/19,10,0,0,10,0,0,0,0
2020/5/20,22,1,0,23,0,0,0,0
2020/5/21,18,1,0,19,0,0,0,0
2020/5/22,18,3,0,21,0,0,0,0
2020/5/23,8,0,0,8,0,0,0,0
2020/5/24,5,0,0,5,0,0,0,0
2020/5/25,13,0,0,13,0,0,0,0
2020/5/26,19,0,0,19,0,0,0,0
2020/5/27,24,0,0,24,0,0,0,0
2020/5/28,14,0,0,14,0,0,0,0
2020/5/29,9,0,0,9,0,0,0,0
2020/5/30,9,0,0,9,0,0,0,0
2020/5/31,5,0,0,5,0,0,0,0
2020/6/1,7,3,0,10,0,0,0,0
2020/6/2,22,1,0,23,0,0,0,0
2020/6/3,12,8,0,20,0,0,0,0
2020/6/4,10,1,0,11,0,0,0,0
2020/6/5,11,7,0,18,0,0,0,0
2020/6/6,6,3,0,9,0,0,0,0
2020/6/7,5,0,0,5,0,0,0,0
2020/6/8,13,11,0,24,0,0,0,0
2020/6/9,29,3,0,32,0,0,0,0
2020/6/10,15,3,0,18,0,0,0,0
2020/6/11,2,1,0,3,0,0,0,0
2020/6/12,9,1,0,10,0,0,0,0
2020/6/13,3,2,0,5,0,0,0,0
2020/6/14,0,0,0,0,0,0,0,0
2020/6/15,4,2,0,6,0,0,0,0
2020/6/16,11,24,0,35,0,0,0,0
2020/6/17,24,15,0,39,0,0,0,0
2020/6/18,4,3,0,7,0,4,0,4
2020/6/19,5,39,0,44,0,1,0,1
2020/6/20,2,0,0,2,0,0,0,0
2020/6/21,0,0,0,0,0,0,0,0
2020/6/22,7,2,0,9,0,1,0,1
2020/6/23,6,42,0,48,0,0,0,0
2020/6/24,8,5,0,13,0,3,0,3
2020/6/25,6,4,0,10,0,0,0,0
2020/6/26,5,38,0,43,0,0,0,0
2020/6/27,9,1,0,10,0,2,0,2
2020/6/28,3,0,0,3,0,0,0,0
2020/6/29,7,42,0,49,0,1,0,1
2020/6/30,16,5,0,21,0,3,0,3
2020/7/1,8,27,0,35,0,2,0,2
2020/7/2,8,14,0,22,0,1,0,1
2020/7/3,8,8,0,16,0,0,0,0
2020/7/4,5,12,0,17,0,0,0,0
2020/7/5,13,0,0,13,0,1,0,1
2020/7/6,15,5,0,20,0,0,0,0
2020/7/7,10,43,0,53,0,4,0,4
2020/7/8,6,18,0,24,0,1,0,1
2020/7/9,13,9,0,22,0,4,0,4
2020/7/10,10,1,1,10,0,0,0,0
2020/7/11,17,6,0,23,0,0,0,0
2020/7/12,9,7,0,16,0,2,0,2
2020/7/13,17,37,1,53,0,2,0,2
2020/7/14,27,28,1,54,0,7,0,7
2020/7/15,66,19,1,84,0,5,0,5
2020/7/16,41,13,10,44,0,4,0,4
2020/7/17,102,24,1,125,0,5,0,5
2020/7/18,181,2,1,182,0,6,0,6
2020/7/19,228,0,0,228,0,1,0,1
2020/7/20,64,17,0,81,0,4,0,4
2020/7/21,47,48,0,95,0,29,0,29
2020/7/22,53,34,0,87,0,17,1,16
2020/7/23,30,5,0,35,0,0,0,0
2020/7/24,29,0,0,29,0,0,0,0
2020/7/25,27,0,0,27,0,3,0,3
2020/7/26,25,0,0,25,0,0,0,0
2020/7/27,42,29,0,71,0,15,0,15
2020/7/28,53,52,0,105,0,25,1,24
2020/7/29,40,44,0,84,0,11,0,11
2020/7/30,43,11,0,54,0,2,0,2
2020/7/31,23,27,0,50,0,15,0,15
2020/8/1,63,3,0,66,0,13,0,13
2020/8/2,3,0,0,3,0,0,0,0
2020/8/3,28,19,0,47,0,4,0,4
2020/8/4,32,52,2,82,0,24,0,24
2020/8/5,40,27,2,65,0,21,3,18
2020/8/6,97,26,2,121,0,17,2,15
2020/8/7,60,36,0,96,0,14,1,13
2020/8/8,92,31,0,123,8,17,1,24
2020/8/9,44,0,1,43,0,1,0,1
2020/8/10,87,0,0,87,0,2,0,2
2020/8/11,160,123,0,283,0,34,0,34
2020/8/12,80,32,0,112,0,73,0,73
2020/8/13,27,13,0,40,0,21,1,20
2020/8/14,32,41,1,72,0,18,0,18
2020/8/15,18,29,0,47,0,31,1,30
2020/8/16,121,0,2,119,0,8,0,8
2020/8/17,41,26,2,65,0,16,0,16
2020/8/18,75,55,1,129,0,47,0,47
2020/8/19,35,8,0,43,0,17,0,17
2020/8/20,76,25,3,98,0,24,0,24
2020/8/21,44,62,0,106,0,28,0,28
2020/8/22,33,35,0,68,0,26,0,26
2020/8/23,11,2,0,13,0,4,0,4
2020/8/24,23,25,1,47,0,24,2,22
2020/8/25,52,69,0,121,0,64,0,64
2020/8/26,31,35,1,65,0,17,0,17
2020/8/27,22,18,0,40,0,173,0,173
2020/8/28,32,38,1,69,0,37,2,35
2020/8/29,61,10,0,71,0,34,0,34
2020/8/30,10,3,0,13,0,8,0,8
2020/8/31,46,42,0,88,0,6,0,6
2020/9/1,51,79,1,129,0,54,0,54
2020/9/2,66,20,3,83,0,29,1,28
2020/9/3,146,54,2,198,0,30,0,30
2020/9/4,52,20,0,72,0,9,0,9
2020/9/5,32,14,0,46,0,29,0,29
2020/9/6,7,0,0,7,0,11,0,11
2020/9/7,20,50,0,70,0,29,1,28
2020/9/8,33,36,1,68,0,20,0,20
2020/9/9,74,38,0,112,0,11,0,11
2020/9/10,42,47,1,88,0,36,0,36
2020/9/11,43,30,0,73,0,18,0,18
2020/9/12,28,13,0,41,0,9,2,7
2020/9/13,8,3,0,11,0,13,0,13
2020/9/14,76,72,0,148,0,53,3,50
2020/9/15,82,29,0,111,0,28,0,28
2020/9/16,135,19,0,154,0,11,0,11
2020/9/17,49,46,0,95,0,60,1,59
2020/9/18,15,27,0,42,0,10,0,10
2020/9/19,11,3,0,14,0,28,0,28
2020/9/20,9,1,0,10,0,14,0,14
2020/9/21,9,0,0,9,0,0,0,0
2020/9/22,7,15,0,22,0,1,0,1
2020/9/23,7,13,0,20,0,12,0,12
2020/9/24,5,62,0,67,0,92,0,92
2020/9/25,14,67,0,81,0,28,0,28
2020/9/26,8,12,0,20,0,23,0,23
2020/9/27,1,0,0,1,0,10,0,10
2020/9/28,22,23,0,45,0,15,0,15
2020/9/29,11,54,0,65,0,52,0,52
2020/9/30,13,7,0,20,0,14,0,14
2020/10/1,3,63,0,66,0,50,0,50
2020/10/2,10,34,0,44,0,20,0,20
2020/10/3,8,5,0,13,0,22,0,22
2020/10/4,4,17,0,21,0,24,0,24
2020/10/5,3,40,0,43,0,28,0,28
2020/10/6,11,83,0,94,0,71,0,71
2020/10/7,8,34,0,42,0,44,0,44
2020/10/8,6,70,0,76,0,39,0,39
2020/10/9,2,28,0,30,0,11,0,11
2020/10/10,4,25,1,28,0,40,0,40
2020/10/11,12,26,2,36,0,10,0,10
2020/10/12,30,40,0,70,0,37,0,37
2020/10/13,49,94,0,143,0,51,0,51
2020/10/14,18,55,0,73,0,46,0,46
2020/10/15,40,50,0,90,0,46,1,45
2020/10/16,66,46,1,111,0,37,0,37
2020/10/17,107,4,1,110,0,3,0,3
2020/10/18,49,18,0,67,0,20,0,20
2020/10/19,10,48,0,58,0,25,0,25
2020/10/20,14,33,0,47,0,37,0,37
2020/10/21,3,50,0,53,0,39,1,38
2020/10/22,14,85,1,98,0,50,0,50
2020/10/23,5,33,0,38,0,26,0,26
2020/10/24,5,15,0,20,0,26,0,26
2020/10/25,6,19,0,25,0,19,0,19
2020/10/26,11,35,0,46,0,13,0,13
2020/10/27,14,131,0,145,0,54,0,54
2020/10/28,5,39,0,44,0,25,0,25
2020/10/29,2,28,0,30,0,34,0,34
2020/10/30,1,63,0,64,0,18,0,18
2020/10/31,2,15,0,17,0,34,0,34
2020/11/1,2,0,0,2,0,0,0,0
2020/11/2,9,38,0,47,0,34,0,34
2020/11/3,3,9,0,12,0,24,0,24
2020/11/4,4,66,1,69,0,25,0,25
2020/11/5,11,37,1,47,0,65,0,65
2020/11/6,7,43,0,50,0,16,0,16
2020/11/7,99,49,0,148,0,24,1,23
2020/11/8,3,29,2,30,0,33,0,33
2020/11/9,16,38,0,54,0,21,0,21
2020/11/10,8,87,1,94,0,35,0,35
2020/11/11,13,99,2,110,0,68,0,68
2020/11/12,50,70,3,117,0,50,0,50
2020/11/13,64,47,1,110,0,34,0,34
2020/11/14,5,15,0,20,0,25,0,25
2020/11/15,9,1,2,8,0,3,0,3
2020/11/16,71,69,5,135,0,37,1,36
2020/11/17,55,96,1,150,0,53,0,53
2020/11/18,46,81,2,125,0,36,1,35
2020/11/19,26,73,2,97,0,56,0,56
2020/11/20,22,85,2,105,0,48,0,48
2020/11/21,10,11,2,19,0,21,0,21
2020/11/22,3,3,0,6,0,20,0,20
2020/11/23,7,0,1,6,0,0,0,0
2020/11/24,13,106,1,118,0,58,0,58
2020/11/25,2,141,1,142,0,72,0,72
2020/11/26,16,64,1,79,0,45,0,45
