日付,確定日別による陽性者数の推移 (日別),確定日別による陽性者数の推移 (累計)
1月23日,2,2
1月24日,0,2
1月25日,0,2
1月26日,0,2
1月27日,0,2
1月28日,0,2
1月29日,0,2
1月30日,1,3
1月31日,0,3
2月1日,0,3
2月2日,0,3
2月3日,0,3
2月4日,0,3
2月5日,0,3
2月6日,0,3
2月7日,0,3
2月8日,0,3
2月9日,0,3
2月10日,0,3
2月11日,0,3
2月12日,1,4
2月13日,1,5
2月14日,2,7
2月15日,7,14
2月16日,5,19
2月17日,1,20
2月18日,3,23
2月19日,4,27
2月20日,0,27
2月21日,4,31
2月22日,0,31
2月23日,0,31
2月24日,3,34
2月25日,0,34
2月26日,4,38
2月27日,0,38
2月28日,0,38
2月29日,1,39
3月1日,1,40
3月2日,0,40
3月3日,2,42
3月4日,4,46
3月5日,4,50
3月6日,7,57
3月7日,6,63
3月8日,1,64
3月9日,0,64
3月10日,4,68
3月11日,4,72
3月12日,4,76
3月13日,6,82
3月14日,5,87
3月15日,3,90
3月16日,4,94
3月17日,10,104
3月18日,10,114
3月19日,9,123
3月20日,8,131
3月21日,7,138
3月22日,4,142
3月23日,19,161
3月24日,29,190
3月25日,47,237
3月26日,35,272
3月27日,54,326
3月28日,62,388
3月29日,55,443
3月30日,52,495
3月31日,63,558
4月1日,109,667
4月2日,88,755
4月3日,155,910
4月4日,134,1044
4月5日,85,1129
4月6日,85,1214
4月7日,132,1346
4月8日,198,1544
4月9日,266,1810
4月10日,190,2000
4月11日,235,2235
4月12日,147,2382
4月13日,188,2570
4月14日,129,2699
4月15日,190,2889
4月16日,226,3115
4月17日,196,3311
4月18日,157,3468
4月19日,91,3559
4月20日,113,3672
4月21日,113,3785
4月22日,130,3915
4月23日,115,4030
4月24日,116,4146
4月25日,107,4253
4月26日,61,4314
4月27日,69,4383
4月28日,99,4482
4月29日,66,4548
4月30日,101,4649
5月1日,56,4705
5月2日,77,4782
5月3日,60,4842
5月4日,39,4881
5月5日,32,4913
5月6日,23,4936
5月7日,25,4961
5月8日,22,4983
5月9日,34,5017
5月10日,28,5045
5月11日,11,5056
5月12日,11,5067
5月13日,20,5087
5月14日,12,5099
5月15日,10,5109
5月16日,8,5117
5月17日,3,5120
5月18日,7,5127
5月19日,2,5129
5月20日,11,5140
5月21日,4,5144
5月22日,8,5152
5月23日,6,5158
5月24日,7,5165
5月25日,8,5173
5月26日,12,5185
5月27日,16,5201
5月28日,21,5222
5月29日,19,5241
5月30日,7,5248
5月31日,15,5263
6月1日,20,5283
6月2日,10,5293
6月3日,33,5326
6月4日,20,5346
6月5日,25,5371
6月6日,24,5395
6月7日,10,5405
6月8日,10,5415
6月9日,25,5440
6月10日,22,5462
6月11日,43,5505
6月12日,42,5547
6月13日,45,5592
6月14日,21,5613
6月15日,14,5627
6月16日,28,5655
6月17日,26,5681
6月18日,61,5742
6月19日,32,5774
6月20日,30,5804
6月21日,18,5822
6月22日,32,5854
6月23日,51,5905
6月24日,54,5959
6月25日,53,6012
6月26日,68,6080
6月27日,53,6133
6月28日,64,6197
6月29日,49,6246
6月30日,70,6316
7月1日,103,6419
7月2日,127,6546
7月3日,138,6684
7月4日,131,6815
7月5日,98,6913
7月6日,82,6995
7月7日,98,7093
7月8日,258,7351
7月9日,231,7582
7月10日,221,7803
7月11日,201,8004
7月12日,104,8108
7月13日,155,8263
7月14日,173,8436
7月15日,297,8733
7月16日,305,9038
7月17日,299,9337
7月18日,238,9575
7月19日,139,9714
7月20日,217,9931
7月21日,246,10177
7月22日,397,10574
7月23日,290,10864
7月24日,251,11115
7月25日,192,11307
7月26日,107,11414
7月27日,236,11650
7月28日,210,11860
7月29日,1,11861
