日付,新規患者に関する報告件数の推移 (日別),新規患者に関する報告件数の推移 (累計)
1月24日,1,1
1月25日,1,2
1月26日,0,2
1月27日,0,2
1月28日,0,2
1月29日,0,2
1月30日,1,3
1月31日,0,3
2月1日,0,3
2月2日,0,3
2月3日,0,3
2月4日,0,3
2月5日,0,3
2月6日,0,3
2月7日,0,3
2月8日,0,3
2月9日,0,3
2月10日,0,3
2月11日,0,3
2月12日,0,3
2月13日,1,4
2月14日,2,6
2月15日,8,14
2月16日,5,19
2月17日,0,19
2月18日,3,22
2月19日,3,25
2月20日,0,25
2月21日,3,28
2月22日,1,29
2月23日,0,29
2月24日,3,32
2月25日,0,32
2月26日,3,35
2月27日,1,36
2月28日,0,36
2月29日,1,37
3月1日,2,39
3月2日,0,39
3月3日,1,40
3月4日,4,44
3月5日,8,52
3月6日,6,58
3月7日,6,64
3月8日,0,64
3月9日,0,64
3月10日,3,67
3月11日,6,73
3月12日,2,75
3月13日,2,77
3月14日,10,87
3月15日,3,90
3月16日,0,90
3月17日,12,102
3月18日,9,111
3月19日,7,118
3月20日,11,129
3月21日,7,136
3月22日,3,139
3月23日,16,155
3月24日,18,173
3月25日,41,214
3月26日,46,260
3月27日,40,300
3月28日,64,364
3月29日,72,436
3月30日,12,448
3月31日,78,526
4月1日,67,593
4月2日,98,691
4月3日,92,783
4月4日,118,901
4月5日,141,1042
4月6日,85,1127
4月7日,87,1214
4月8日,156,1370
4月9日,183,1553
4月10日,199,1752
4月11日,198,1950
4月12日,174,2124
4月13日,100,2224
4月14日,159,2383
4月15日,127,2510
4月16日,151,2661
4月17日,206,2867
4月18日,186,3053
4月19日,109,3162
4月20日,101,3263
4月21日,123,3386
4月22日,123,3509
4月23日,134,3643
4月24日,170,3813
4月25日,119,3932
4月26日,82,4014
4月27日,41,4055
4月28日,113,4168
4月29日,47,4215
4月30日,59,4274
5月1日,165,4439
5月2日,154,4593
5月3日,93,4686
5月4日,87,4773
5月5日,57,4830
5月6日,37,4867
5月7日,23,4890
5月8日,39,4929
5月9日,36,4965
5月10日,22,4987
5月11日,15,5002
5月12日,27,5029
5月13日,10,5039
5月14日,30,5069
5月15日,9,5078
5月16日,14,5092
5月17日,5,5097
5月18日,10,5107
5月19日,5,5112
5月20日,5,5117
5月21日,11,5128
5月22日,3,5131
5月23日,2,5133
5月24日,14,5147
5月25日,8,5155
5月26日,10,5165
5月27日,11,5176
5月28日,15,5191
5月29日,21,5212
5月30日,14,5226
5月31日,5,5231
6月1日,13,5244
6月2日,34,5278
6月3日,12,5290
6月4日,28,5318
6月5日,20,5338
6月6日,26,5364
6月7日,14,5378
6月8日,13,5391
6月9日,12,5403
6月10日,18,5421
6月11日,22,5443
6月12日,25,5468
6月13日,24,5492
6月14日,47,5539
6月15日,48,5587
6月16日,27,5614
6月17日,16,5630
6月18日,41,5671
6月19日,35,5706
6月20日,39,5745
6月21日,34,5779
6月22日,29,5808
6月23日,31,5839
6月24日,55,5894
6月25日,48,5942
6月26日,54,5996
6月27日,57,6053
6月28日,60,6113
6月29日,58,6171
6月30日,54,6225
7月1日,67,6292
7月2日,107,6399
7月3日,124,6523
7月4日,131,6654
7月5日,111,6765
7月6日,102,6867
7月7日,106,6973
7月8日,75,7048
7月9日,224,7272
7月10日,243,7515
7月11日,206,7721
7月12日,206,7927
7月13日,119,8046
7月14日,143,8189
7月15日,165,8354
7月16日,286,8640
7月17日,293,8933
7月18日,290,9223
7月19日,188,9411
7月20日,168,9579
7月21日,237,9816
7月22日,238,10054
7月23日,366,10420
7月24日,260,10680
7月25日,295,10975
7月26日,239,11214
7月27日,131,11345
7月28日,266,11611
7月29日,250,11861
